origin_msoa,E02003665,E02003676,E02003677,E02003678,E02003679,E02003680,E02003681,E02003682,E02003683,E02003685,E02003686,E02003687,E02003688,E02003689,E02003690,E02003692,E02003695,E02003708,E02003710,E02004845,E02004847,E02004848,E02004850,E02004852,E02004853,E02004854,E02004855,E02004861,E02004866,E02004867,E02004873,E02004874,E02004876,E02004877,E02004894,E02004896,E02004898,E02004899,E02004900,E02004901,E02004902,E02004903,E02004904,E02004905,E02004906,E02004907,E02004908,E02004922,E02004928,E02004935,E02004939,E02004942,E02004957,E02004958,E02004959,E02004960,E02004961,E02004962,E02004963,E02004964,E02004965,E02004966,E02004967,E02004968,E02004969,E02004970,E02004971,E02004972,E02004973,E02004974,E02004975,E02004976,E02004977,E02004978,E02004979,E02004991,E02004995
E02003260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,10.91703056768559,0.0,0.0,0.0
E02003655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003676,0.0,7.331247467699095,15.807860262008735,14.611758879935172,48.16215729527754,0.0,30.835771845315804,44.73011299689371,1036.0059424661233,10.309278350515465,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.240174672489083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,309.4359159051006,160.1089452122631,97.64552289200017,41.48471615720524,0.0,10.91703056768559,10.91703056768559,24.017467248908297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.17827398370324,10.309278350515465,10.309278350515465,32.75109170305677,10.91703056768559,0.0,0.0
E02003677,0.0,13.817134110655923,4.937919236483141,4.327916085175348,5.110205735380182,0.0,229.27137261963716,237.18916850492954,3315.1978120920185,32.14333948588664,10.309278350515465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.14333948588664,1523.8779093323728,1663.584387520821,21.83406113537118,407.6891910142709,10.91703056768559,128.82096069868996,0.0,397.3799126637554,10.91703056768559,10.91703056768559,0.0,10.91703056768559,0.0,0.0,0.0,0.0,471.36361590059875,155.38198352316212,53.3696484040877,10.91703056768559,0.0,0.0,0.0
E02003678,0.0,24.547292126232385,1.3584837707648674,5.521361364966461,3.9301310043668116,0.0,103.33273308422996,150.89366587133662,3050.4815198307297,72.0524017467249,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.40174672489083,1378.5666051411336,1717.089091973169,37.11790393013101,419.2139737991266,10.91703056768559,43.66812227074236,0.0,106.98689956331877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.98883536667716,76.41921397379913,45.96857695943817,0.0,0.0,0.0,0.0
E02003679,0.0,47.18691757079188,4.306082024039976,5.97024265070004,15.887588349164904,5.240174672489083,47.563093683878805,562.435465718273,5936.630126502499,60.52761896186918,43.66812227074236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.309278350515465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.387115652996,4969.50884617116,2562.8119119434564,157.56538963669925,927.3263404312789,0.0,145.68045738981678,0.0,129.78886237788683,10.309278350515465,0.0,0.0,10.91703056768559,0.0,10.91703056768559,0.0,10.309278350515465,1283.5726826633052,285.657047674785,414.4735065051997,134.76342682213118,0.0,0.0,0.0
E02003681,0.0,75.66195471120515,165.83698734975016,97.10192229775357,44.02349975239724,0.0,5.0,4.987709899608338,83.67433484896232,5.240174672489083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,102.62008733624455,20.647143564579302,45.851528384279476,96.06986899563319,0.0,0.0,0.0,21.83406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.384279475982535,32.14333948588664,10.91703056768559,10.91703056768559,0.0,0.0,0.0
E02003682,0.0,64.3292216269752,182.75563859001488,108.28118669247738,490.79061810651416,0.0,1.5502183406113537,0.5979381443298969,31.127492909557468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4875523342187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,21.83406113537118,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,10.309278350515465,0.0,0.0,10.91703056768559,47.42718228064647,28.384279475982535,0.0,0.0,0.0,0.0,0.0
E02003683,0.0,1576.8694008013326,4202.281186692478,2805.279971188043,9481.91842614685,0.0,164.32219871246568,31.127492909557468,25.666591635528743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.45261783640211,0.0,43.060370053572235,0.0,0.0,94.51848016927025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.428802953225588,4.948453608247423,0.6597938144329897,64.59910863008149,4.948453608247423,0.0,0.0,0.0,21.83406113537118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,171.030477648224,32.75109170305677,10.91703056768559,0.0,0.0,0.0,0.0
E02003685,0.0,10.91703056768559,32.75109170305677,42.45261783640211,32.75109170305677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003686,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,5.240174672489083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.240174672489083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0
E02003688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.309278350515465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.240174672489083,0.0,0.0,0.0,0.6331877729257641,5.240174672489083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0
E02003690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8777292576419211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,10.91703056768559,0.0,0.0,0.0,0.0,5.240174672489083,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,43.060370053572235,21.83406113537118,10.309278350515465,0.0,0.0,0.0,0.0
E02003692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331877729257641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2663755458515282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.309278350515465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.83406113537118,0.0,0.0,10.91703056768559,0.0,0.0,10.91703056768559,21.83406113537118,10.91703056768559,0.0,0.0,10.91703056768559,10.91703056768559,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,21.83406113537118,42.45261783640211,0.0,0.0,0.0,0.0,0.0
E02003703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.309278350515465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0
E02003711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986899563318777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02003721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02004845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02004846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56768558951965,0.0,0.0,0.0
E02004847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6331877729257641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.91703056768559,0.0,0.0,0.0,0.0,0.0,0.0
